@RELATION perfEvents

@ATTRIBUTE counter_values_branch-instructions REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE counter_values_mem-stores REAL
@ATTRIBUTE classLabel REAL

@DATA
5717,2409,6091,6794,3
6288,3127,31108,7558,3
6311,2900,6144,7586,3
6278,2616,31412,7538,3
6305,2864,6163,7841,3
6163,2218,31568,7382,3
6085,2995,11264,7291,3
6042,3343,56717,7235,3
5646,2362,6279,6714,3
6244,2747,32394,7521,3
6271,2808,6176,7531,3
6253,2710,31660,7498,3
5725,2623,6148,6807,3
6292,2609,31436,7590,3
6393,3490,6098,7846,3
6304,2897,31111,7568,3
6261,2568,6239,7530,3
6175,2566,32210,7414,3
6037,2841,6269,7227,3
6066,3269,32361,7256,3
5620,2451,6186,6667,3
6199,2847,31806,7439,3
6270,2836,5717,7521,3
6303,2870,28629,7566,3
6174,2682,6288,7417,3
6259,2758,32504,7510,3
6246,3050,6311,7515,3
6279,2804,32647,7558,3
6281,3113,6278,7561,3
6136,2863,32390,7351,3
6092,3339,6305,7450,3
6182,3520,32603,7578,3
6210,2802,6163,7458,3
6289,2961,31534,7549,3
6269,2803,6085,7523,3
6302,2785,30996,7571,3
6223,3650,6042,7489,3
6246,2707,30674,7510,3
6262,2888,5646,7530,3
6225,2766,28112,7467,3
6160,2745,6244,7369,3
6127,2766,32243,7322,3
6158,2916,6271,7363,3
6070,2849,32358,7245,3
12040,4734,6253,14439,3
6302,2829,32156,7565,3
6235,2917,5725,7493,3
6288,3388,28685,7575,3
6156,2818,6292,7401,3
6265,2847,32670,7525,3
6287,2962,6393,7540,3
6226,3470,33255,7636,3
6187,2898,6304,7421,3
6198,2847,32583,7433,3
6203,3077,6261,7433,3
6038,2683,32316,7227,3
6254,2727,6175,7517,3
6288,2926,31661,7571,3
6269,3276,6037,7545,3
6215,2595,30656,7470,3
6758,2415,6066,8214,3
6254,2772,30849,7505,3
6301,3058,5620,7570,3
6364,2949,27972,7665,3
6340,2886,6199,7621,3
6201,2753,31818,7438,3
6060,3200,6270,7261,3
6032,2829,32314,7222,3
5743,2415,6303,6851,3
6300,2816,32549,7579,3
6409,3175,6174,7703,3
6336,2814,31704,7613,3
5761,2786,6259,6854,3
6274,2876,32285,7535,3
3260,3326,6246,5039,3
7604,3728,32224,10208,3
6265,2741,6279,7535,3
6189,3675,32454,7595,3
4899,1957,4899,5954,4
8743,3559,24591,10584,4
5593,1830,8743,6587,4
4804,1770,43554,5888,4
4837,1769,5593,5933,4
4880,1796,27708,5969,4
8685,3200,4804,10350,4
4393,1701,24066,5327,4
5595,1897,4837,6585,4
4890,1781,24311,5984,4
4864,1800,4880,5963,4
8158,3184,24550,9707,4
4868,1810,8685,5965,4
4902,1767,43153,5973,4
5584,1961,4393,6581,4
4866,1900,21323,5966,4
8703,3368,5595,10382,4
4871,1835,27723,5932,4
4842,1882,4890,5907,4
4427,2141,24633,5332,4
5548,1861,4864,6528,4
8562,3220,24482,10218,4
4834,1831,8158,5907,4
4384,1778,39739,5307,4
4369,1600,4868,5297,4
4845,1746,24496,5887,4
9336,3256,4902,10902,4
4847,2139,24622,5920,4
4853,2666,5584,7585,4
4797,1872,27677,5841,4
4867,2442,4866,6101,4
7736,3248,24492,9099,4
4914,1799,8703,5992,4
4900,1775,43204,5976,4
4895,1738,4871,5944,4
4841,1850,24392,5871,4
8719,3536,4842,10369,4
5619,2013,24257,6607,4
4884,1858,4427,5970,4
4854,1851,21467,5936,4
4887,1863,5548,5974,4
8515,3368,27389,10130,4
4792,1849,8562,5863,4
5098,1867,42249,5951,4
4905,1831,4834,6015,4
4896,1900,24209,6004,4
8741,3511,4384,10440,4
10149,4570,21232,12031,4
4847,2021,4369,5902,4
5537,1837,21193,6501,4
4825,2147,4845,5909,4
8562,3200,24188,10223,4
4873,1743,9336,5963,4
4833,1770,45828,5904,4
4831,1762,4847,5883,4
5089,1799,24292,5921,4
8606,3200,4853,10260,4
4827,1751,24297,5885,4
4840,1754,4797,5900,4
4381,1673,23903,5307,4
4865,1817,4867,5922,4
9291,3433,24425,10878,4
4866,1795,7736,5969,4
4846,1821,36789,5926,4
4862,1821,4914,5943,4
4784,1747,24724,5828,4
8677,3279,4900,10334,4
4886,1794,24642,5946,4
4908,1785,4895,5978,4
4922,1776,24529,5976,4
4922,1852,4841,5974,4
8224,3145,24130,9743,4
5587,1865,8719,6581,4
4887,1806,43300,5987,4
4871,1764,5619,5967,4
4823,1833,27850,5893,4
8638,3355,4884,10273,4
4843,2055,24565,5926,4
5542,1934,4854,6512,4
4312,2006,24375,5240,4
4871,1834,4887,5971,4
8686,3234,24571,10386,4
4838,1774,8515,5924,4
4337,1590,41867,5239,4
5676,2240,4792,7249,4
4941,2399,23945,6220,4
8768,3550,5098,10468,4
4930,1973,24493,6183,4
4856,2151,4905,6076,4
4850,1805,24746,5892,4
5535,1917,4896,6511,4
8586,3484,24708,10268,4
4831,1763,8741,5908,4
4818,1748,43548,5882,4
4818,1823,10149,5882,4
4395,2051,50964,5303,4
9331,3288,4847,10908,4
4809,1782,24237,5874,4
4840,1731,5537,5908,4
5689,3454,27282,6894,4
12035,3679,12035,13284,5
8679,2030,54599,9151,5
14060,5349,8679,16638,5
9256,2424,38018,9894,5
9144,2385,14060,9775,5
8596,3164,69450,9060,5
9178,2685,9256,10059,5
33183,5150,41836,34537,5
10165,2373,9144,10732,5
9145,2856,41120,9708,5
9075,2507,8596,9687,5
9130,2525,37549,9749,5
13793,6087,9178,16389,5
8703,2300,41249,9227,5
9085,2389,33183,9695,5
9106,2376,145561,9696,5
9140,2351,10165,9694,5
8642,2516,45404,9071,5
9130,2365,9145,9701,5
9096,2361,40909,9691,5
9100,2366,9075,9695,5
9171,2367,40618,9714,5
13992,6089,9130,16455,5
9098,2582,40987,9706,5
9036,2576,13793,9620,5
9093,2387,67423,9676,5
9098,2407,8703,9693,5
9144,2358,38347,9764,5
21597,7246,9085,23292,5
9146,2401,40685,9734,5
9170,2519,9106,9771,5
9164,2371,40758,9765,5
14065,5736,9140,16778,5
9175,2393,40884,9796,5
9225,2378,8642,9797,5
9262,2657,37748,9870,5
8730,3305,9130,10421,5
18079,5256,40888,19683,5
9103,2381,9096,9719,5
9125,2345,40751,9757,5
9129,2356,9100,9737,5
14691,5642,40758,17480,5
9227,2424,9171,9846,5
9260,3164,41038,10044,5
9182,3246,13992,9802,5
9177,2627,68690,9777,5
10270,5424,9098,12590,5
9484,2668,40785,10203,5
9071,2321,9036,9673,5
9125,2381,40325,9741,5
9122,3132,9093,9717,5
13990,5434,40696,16518,5
8583,2151,9098,9039,5
8672,2204,40763,9127,5
9136,2403,9144,9706,5
9133,2394,41119,9710,5
9127,2370,21597,9697,5
9111,2614,97138,9699,5
9101,2600,9146,9698,5
48122,6944,41032,57650,5
9113,2359,9170,9676,5
13948,6830,41202,16624,5
9112,2377,9164,9732,5
9107,2362,41202,9695,5
8732,2333,14065,9269,5
8663,2895,69413,9285,5
9168,2582,9175,9765,5
9191,2397,41299,9767,5
9205,3272,9225,9980,5
9113,2432,41473,9697,5
9117,2685,9262,9725,5
13406,5204,41810,15712,5
9181,2429,8730,9743,5
9206,2767,47401,9950,5
9145,2841,18079,9918,5
9118,2383,71806,9724,5
8804,2272,9103,9321,5
8657,2375,40834,9121,5
21985,6556,9125,22665,5
9161,2346,41029,9768,5
9146,2352,9129,9728,5
14086,5260,40987,16636,5
9194,2380,14691,9800,5
8687,2295,73397,9150,5
9106,2445,9227,9701,5
9193,2631,41603,9721,5
9155,2658,9260,9699,5
9112,2599,41845,9701,5
9076,2464,9182,9670,5
8665,2357,41330,9106,5
9093,2386,9177,9699,5
14008,5339,41251,16540,5
9129,2373,10270,9736,5
9223,2381,48489,9821,5
9103,2303,9484,9669,5
8701,2311,43098,9140,5
9111,2365,9071,9691,5
9113,2383,40586,9696,5
9158,2939,9125,9694,5
38438606,1398360,38438606,55863826,6
36905233,1389300,207898921,53802997,6
36538252,1425010,36905233,53190463,6
40565523,1437620,201817712,59117999,6
39888254,1438302,36538252,58068519,6
38886403,1428106,197872982,56566212,6
36214814,1396019,40565523,52723150,6
40575974,1449576,221769708,59140652,6
41191015,1467793,39888254,60088251,6
36387316,1392962,215843403,52896437,6
39504782,1490747,38886403,57477726,6
38772486,1432865,212506855,56360013,6
41363836,1495978,36214814,60263977,6
41701640,1486770,196202588,60633895,6
39999541,1481016,40575974,58256472,6
39801649,1444094,221862943,57966382,6
39278324,1473506,41191015,57071084,6
33515692,1288599,222757009,48421713,6
37406759,1422976,36387316,54483343,6
37062409,1400459,199313747,53965294,6
37473080,1413959,39504782,54666371,6
41435838,1474190,214165549,60182903,6
41279306,1445426,38772486,60164533,6
42438966,1500016,211907820,61840725,6
43727913,1532660,41363836,63664955,6
42754686,1499967,226029923,62316644,6
41582035,1524486,41701640,60500476,6
44511016,1565563,225867439,64885221,6
38440076,1459508,39999541,55972627,6
39489964,1462466,218754504,57590299,6
42529961,1462554,39801649,61867298,6
38738003,1458461,215050760,56381196,6
