@RELATION perfEvents

@ATTRIBUTE counter_values_branch-instructions REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE counter_values_mem-stores REAL
@ATTRIBUTE classLabel REAL

@DATA
3434288,593772,20955070,5191329,9
3037887,516689,2684246,4613589,9
4576379,721259,19685122,6473442,9
2754686,531286,4071726,4320499,9
2564921,557645,26203601,4249415,9
3796955,640426,2512518,5855707,9
2805864,548295,19209761,4602628,9
2723308,537807,3029459,4184587,9
3287705,612607,21304428,5072737,9
2777100,563529,3843086,4357317,9
3873945,630812,24904995,5550164,9
2580136,529930,2461511,4155973,9
2517728,511419,18896263,4148728,9
4086959,696276,4258163,5977854,9
2550750,521890,29372011,4110467,9
3947667,626237,3005495,5645283,9
% 
% 
% 
