@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-prefetch-misses REAL
@ATTRIBUTE counter_values_L1-icache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cycles REAL
@ATTRIBUTE classLabel REAL

@DATA
80,2472,6228,114390,3
81,2458,6213,114060,3
88,2514,6150,194381,3
97,2502,6141,336652,3
89,2629,6162,159526,3
75,2474,6174,115644,3
74,2460,6130,112501,3
91,2564,6165,203772,3
98,2734,6070,225890,3
89,2475,6036,216384,3
90,2475,6054,195821,3
82,2487,6172,188975,3
93,2508,6148,201406,3
84,2479,6181,140835,3
87,2501,6270,155668,3
84,2472,6263,211803,3
86,2437,6147,138763,3
82,2475,6130,115920,3
85,2545,6148,208576,3
91,2572,6116,218230,3
88,2497,6038,199448,3
92,2517,6047,214574,3
89,2474,6036,199794,3
94,2555,6163,333069,3
93,2495,6142,196569,3
95,2563,6147,206140,3
86,2506,6148,202955,3
92,2487,6143,328676,3
87,2473,6129,151002,3
93,2461,6179,139617,3
82,2485,6169,118224,3
94,2555,6171,203054,3
94,2506,6113,192703,3
96,2523,6148,200321,3
90,2482,6163,155924,3
84,2449,6139,208532,3
79,2450,6301,115224,3
90,2517,6264,205733,3
86,2507,6152,197363,3
94,2556,6150,319046,3
97,2565,6137,333440,3
97,2536,6141,320831,3
98,2525,6135,322190,3
99,2515,6203,338558,3
85,2507,6174,196403,3
91,2523,6156,200540,3
178,5130,12184,371645,3
89,2515,6255,200509,3
77,2734,6240,217155,3
99,2525,6200,337207,3
103,2481,6531,218098,3
92,2551,6219,250104,3
83,2498,6226,164033,3
74,2468,6196,116672,3
76,2441,6120,126657,3
79,2459,6134,127533,3
77,2494,6166,128718,3
67,2468,6062,110603,3
83,1988,5299,192639,3
93,2452,6272,311505,3
80,2572,6294,209010,3
85,2683,6223,228002,3
91,2035,5270,193531,3
58,1691,4992,204497,4
107,2965,8877,285193,4
53,1800,5510,90624,4
50,1726,4841,89836,4
57,1783,4895,144485,4
62,1798,4897,230777,4
96,3378,8767,207477,4
56,1783,4869,120997,4
60,1859,5510,126906,4
109,4468,10066,225757,4
51,1777,4878,95084,4
102,3408,8707,271174,4
57,1749,4851,205027,4
61,1779,4880,239007,4
58,1861,5512,169819,4
46,1782,4889,175890,4
83,3358,8749,185996,4
50,1765,4845,223079,4
46,1778,4890,117058,4
41,1762,4940,81884,4
59,1876,5526,151706,4
113,3693,8730,342634,4
55,1843,4905,150715,4
63,1813,4796,146745,4
63,1817,4897,231940,4
63,1855,4894,236796,4
92,3433,9347,201658,4
55,1772,4909,123786,4
59,1794,4887,237885,4
64,1826,4906,175574,4
50,1780,4915,119512,4
74,3318,8752,152372,4
45,1748,4920,81687,4
62,1777,4931,145466,4
57,1791,4966,144979,4
67,1720,4901,183383,4
101,3448,8774,289167,4
86,2008,5510,225732,4
53,1777,4937,108594,4
67,1808,4868,149127,4
60,1822,4959,146647,4
106,2924,8264,318953,4
65,1784,4895,232077,4
64,1870,5549,140770,4
60,1771,4912,146972,4
57,1811,4917,145580,4
96,3452,8687,254333,4
49,1589,4795,110058,4
61,1787,4888,247610,4
62,1901,5525,145867,4
58,1772,4875,140445,4
105,3388,8776,242620,4
45,1783,4853,98795,4
59,1698,4924,118938,4
51,1813,4930,172997,4
48,1846,5536,90542,4
86,3316,8754,201534,4
53,1773,4920,113772,4
43,1764,4909,84974,4
102,3591,9225,233261,4
59,1771,4906,256006,4
112,3124,8850,380202,4
53,1749,4903,106756,4
61,1747,4883,136615,4
63,1798,4901,146895,4
46,1773,4861,162252,4
109,3482,8804,426623,4
56,1773,4901,145851,4
59,1818,4903,144336,4
57,1801,4890,143834,4
54,1779,4903,134019,4
107,3362,8697,239229,4
80,2176,5546,182889,4
46,1615,4384,123036,4
52,1787,5010,103781,4
79,2180,4832,144117,4
106,3397,8687,218375,4
50,1774,4812,180333,4
58,1795,5478,118178,4
50,1759,4923,104771,4
51,1747,4958,132715,4
103,3445,8996,278834,4
62,1966,4872,267464,4
55,1599,4910,136552,4
54,1860,5598,125573,4
53,1757,4944,221383,4
85,3375,8737,282958,4
69,1950,4910,170032,4
56,1816,4850,146068,4
58,1426,4414,191481,4
55,1642,4979,180471,4
114,3423,8747,267979,4
59,1790,4917,147099,4
60,1761,4870,144918,4
56,1779,4857,143174,4
61,1785,4886,192171,4
109,3610,9353,292881,4
54,1805,4913,137725,4
48,1792,4922,92874,4
