@RELATION perfEvents

@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE counter_values_mem-stores REAL
@ATTRIBUTE classLabel REAL

@DATA
1913,2238,28702,6811,3
47,2358,31508,7379,3
1155,2350,31484,7372,3
3277,4802,56521,13134,3
2547,2627,32345,7534,3
2515,2588,31586,7399,3
2496,2576,31625,7405,3
2135,2775,33676,7883,3
2125,2355,28954,6859,3
2509,2595,32547,7563,3
2407,2735,32976,7644,3
2142,3152,29038,7026,3
1280,2596,30158,7080,3
666,2390,32552,7565,3
1189,2481,33523,7755,3
917,2474,32936,7657,3
1215,2434,32194,7510,3
2447,2538,31478,7374,3
2568,2822,31653,7401,3
2087,2346,28485,6769,3
2302,2446,32130,7489,3
303,2420,32260,7515,3
1146,2428,32309,7529,3
1114,2334,28836,6833,3
2070,2750,31956,7455,3
71,2422,32058,7482,3
2204,2406,32123,7495,3
63,2385,32105,7483,3
6,2338,31631,7391,3
1397,2713,31245,7485,3
2723,2791,31013,7277,3
1267,1296,15747,3714,3
1912,2197,28724,6805,3
2296,2437,31709,7408,3
2349,2552,31585,7391,3
2577,2807,31900,7455,3
1514,2254,28365,6748,3
2043,2411,31844,7449,3
2120,2455,32106,7480,3
852,2406,31748,7413,3
51,2617,31269,7322,3
2503,2720,30659,7208,3
2434,2502,30726,7219,3
2499,2567,30675,7217,3
2213,2393,31743,7423,3
985,2435,31759,7429,3
108,2422,31751,7425,3
855,2427,31776,7433,3
2353,3020,32414,7690,3
594,2413,32977,7663,3
41,2429,31898,7452,3
2006,2654,31427,7360,3
2195,2590,31866,7435,3
2571,2791,31421,7352,3
2575,2768,30579,7209,3
3189,4527,55174,12906,3
2414,2513,31886,7463,3
2081,2496,31952,7475,3
1247,2465,32210,7508,3
1433,2480,32274,7521,3
2007,2468,31958,7463,3
395,2402,32249,7518,3
132,2381,32315,7530,3
1085,2447,32223,7512,3
168,2362,31807,7450,3
2486,2699,30605,7224,3
2373,2438,30818,7265,3
2340,2399,31030,7301,3
2578,2682,31936,7451,3
604,2404,32197,7500,3
272,2386,32119,7485,3
1110,2448,31849,7438,3
1455,2300,32020,7476,3
65,2394,32393,7545,3
1199,2810,24631,5955,4
927,3298,44118,10529,4
86,1844,27900,6631,4
1872,1973,24523,6088,4
1757,1809,24504,5965,4
1757,1815,24636,5987,4
1917,3571,47449,11303,4
827,1775,24454,5959,4
1497,1843,27621,6590,4
895,1835,24785,6015,4
890,1785,24622,5978,4
906,3328,42360,10215,4
1118,1908,24189,5904,4
916,1804,24575,5953,4
2382,4939,54078,12830,4
431,1978,24488,6124,4
63,3222,43204,10387,4
1014,1741,24195,5902,4
1051,1661,21263,5312,4
841,1732,24322,5912,4
939,1820,27120,6485,4
1070,3158,42677,10285,4
884,1763,24340,5924,4
780,1762,24267,5908,4
1109,1600,21017,5263,4
900,1792,24716,5988,4
1457,3278,46120,10987,4
662,1777,24516,5968,4
885,1787,24602,5982,4
856,1744,23941,5854,4
1052,2133,21081,5263,4
2134,3783,43780,10475,4
872,1746,24773,5993,4
43,1761,24626,5965,4
1674,2365,24312,5902,4
3031,3841,42713,10268,4
1206,1843,25020,6054,4
1128,1868,27347,6534,4
867,1773,24808,6018,4
888,1793,25137,6083,4
1785,3172,42731,10273,4
310,1749,23943,5845,4
961,2271,21022,5415,4
709,1830,27298,6533,4
1596,1737,24156,5904,4
2798,3145,42512,10266,4
314,1756,24344,5935,4
1676,2345,24380,5948,4
1175,2350,21231,5453,4
1591,2347,27280,6679,4
1991,3977,42714,10445,4
320,1741,24114,5880,4
848,1732,24486,5949,4
1311,1744,24322,5930,4
842,1343,21049,5256,4
2124,3516,45311,10999,4
1591,1729,24119,5891,4
794,1895,24229,5914,4
1625,1878,24367,5936,4
1054,1904,24095,5882,4
1781,3275,46113,10952,4
333,1771,24372,5939,4
1703,2153,24750,6170,4
1252,1766,24878,6036,4
60,1761,25006,6050,4
3056,5956,69894,17229,4
1524,1721,24158,5896,4
1818,1876,24219,5894,4
1536,2127,24318,5918,4
67,1717,24304,5897,4
1916,3431,42739,10408,4
316,1681,23878,5823,4
1450,1777,27376,6536,4
1158,1962,24778,6019,4
1622,1801,24506,5963,4
2076,3211,42748,10297,4
326,1738,24223,5909,4
772,1750,24116,5891,4
928,1786,27573,6580,4
812,1770,24923,6034,4
1473,4391,43814,10644,4
1327,1738,24104,5883,4
1215,1749,24117,5886,4
1733,1802,24240,5899,4
1157,1818,26951,6459,4
2122,3215,42450,10249,4
1623,1754,24247,5909,4
81,1728,24170,5893,4
1668,2190,24246,6065,4
1273,1756,24473,5938,4
1483,3663,42607,10271,4
329,1745,24617,5972,4
1332,1737,24530,5959,4
1488,1710,24686,5990,4
61,1740,24589,5976,4
1530,4019,46142,10979,4
1478,1733,24403,5953,4
1217,1777,24624,5988,4
1639,1766,24553,5972,4
1165,1736,24647,5982,4
3441,5117,73393,17953,5
2299,2890,41843,9912,5
2142,2398,41909,9883,5
85,2394,41292,9763,5
104,2359,41304,9779,5
2491,2565,41031,9750,5
3313,5074,111666,26667,5
1350,2893,45445,10754,5
168,3196,41376,9949,5
1129,2543,37942,9107,5
2956,5580,68317,16396,5
80,2756,41260,9926,5
1865,2388,37946,9100,5
1728,3167,37836,9249,5
1866,3013,41312,9784,5
2089,2373,41387,9778,5
1950,2390,41151,9763,5
63,2347,40898,9677,5
1549,2897,38046,9098,5
1561,2806,41186,9752,5
2446,6287,68919,16528,5
1753,2360,37806,9101,5
1817,2391,41298,9782,5
234,2429,40855,9725,5
1630,2841,38066,9132,5
1743,2504,38061,9127,5
1893,2694,41437,9971,5
113,2649,41858,9886,5
363,2411,41639,9820,5
2349,2776,41235,9781,5
2596,5516,62316,14883,5
2471,2580,40966,9695,5
2475,2575,41099,9742,5
1592,2397,37797,9111,5
2448,2560,41092,9758,5
2440,2550,40876,9705,5
1314,2293,40523,9659,5
1891,2380,38035,9113,5
1835,2351,40962,9697,5
