@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_bus-cycles REAL
@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE classLabel REAL

@DATA
726,4405,830,17305,3
776,13915,1328,17619,3
762,13518,1280,17547,3
812,14428,1344,17661,3
800,13924,1322,17525,3
741,13624,1299,17359,3
911,15284,1373,16977,3
709,12928,1231,16852,3
773,5720,792,17383,3
734,4811,935,17482,3
741,9307,307,17505,3
768,8785,173,17421,3
736,5461,1162,17359,3
815,12091,1402,17737,3
772,13492,1325,17494,3
2018,23794,2103,47722,3
731,12451,1254,17313,3
757,14033,1342,17440,3
756,5778,1283,17296,3
725,5762,1294,16998,3
742,6004,1249,17214,3
730,5935,1276,17024,3
760,6451,1402,17115,3
735,5656,1266,17252,3
977,11887,923,17596,3
744,13538,1279,17656,3
755,13515,1172,17527,3
741,13631,1281,17523,3
730,11345,948,17498,3
711,10312,563,17194,3
732,10574,537,16831,3
687,8502,265,16737,3
714,4273,768,17335,3
725,9272,381,17663,3
712,7441,14,17619,3
733,13371,1263,17581,3
988,6452,1186,17466,3
750,13554,1296,17527,3
729,13360,1258,17503,3
744,13521,1285,17711,3
737,13359,1270,17509,3
694,12986,1235,16746,3
698,12848,1221,16852,3
1115,16681,1486,16820,3
747,5723,1272,17468,3
766,6072,1306,17541,3
751,5733,1288,17567,3
877,16125,1381,17622,3
771,6001,1331,17403,3
730,9905,442,17691,3
727,9804,435,17382,3
763,9406,307,17659,3
1055,18313,1647,18135,3
788,13401,1199,18120,3
800,13987,1262,18084,3
730,12898,1081,17370,3
716,8576,866,17028,3
720,12706,1096,17049,3
736,13035,1126,17223,3
830,20554,2350,25626,3
2086,24417,2226,25568,3
719,28086,1568,25434,3
723,13244,1243,17041,3
723,13268,1257,17323,3
1139,13304,1251,17147,3
707,15074,1559,16811,3
1226,12985,1244,16830,3
1687,17796,1660,29763,3
1728,9737,1713,20331,3
2371,13378,1516,21498,3
718,25041,998,30873,3
722,12202,1157,17496,3
723,7554,51,17780,3
756,7493,26,17593,3
1145,6511,1315,21409,4
1790,19358,1662,43743,4
948,7392,1667,27362,4
1399,8717,1675,24811,4
929,7943,1623,24151,4
1080,17631,1065,24544,4
2198,13132,2297,40693,4
1073,7099,1404,21446,4
1604,17357,1810,32117,4
949,16176,1324,25248,4
918,7454,1598,24089,4
1608,22763,1012,42891,4
1049,6688,1363,21274,4
898,13967,879,24365,4
