@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE counter_values_ref-cycles REAL
@ATTRIBUTE classLabel REAL

@DATA
710377,626815,23344618,49039250,2
640962,571387,18736913,37870275,2
765466,629995,26244903,51856925,2
558176,493957,17936754,39083500,2
723849,621748,23643305,41187300,2
803770,764222,25607865,57531725,2
589329,506991,18941801,36548000,2
682281,595022,24433328,42974175,2
657131,577564,23266080,47960125,2
611859,525703,22594288,45202650,2
713646,627458,23460478,51890075,2
621705,542664,19569070,38313075,2
606233,523936,20034367,37674150,2
767219,733368,24565610,52996350,2
626947,560260,18810374,38064225,2
874168,853012,26287520,62765225,2
588834,513825,19264414,36753850,2
622936,551046,18793072,39016425,2
770261,674067,25529847,58156025,2
607572,519162,19117942,37866175,2
604686,541368,18928211,38296950,2
695123,618416,23556810,46537825,2
658518,580956,19749540,42858350,2
759470,661536,24947249,55812600,2
662088,598703,19936451,42545125,2
605929,506237,19764699,38701525,2
721722,660048,25674683,54764075,2
636189,556261,20745909,39783800,2
616930,541579,24240143,43726175,2
707462,629333,24200638,48564625,2
638118,585891,19365866,41209850,2
750005,630211,25544931,51186825,2
% 
% 
% 
