@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE classLabel REAL

@DATA
935,4475,1386,23927,3
751,3532,1332,17993,3
730,3506,1276,17774,3
721,3479,1282,17556,3
5990,60431,12747,276108,3
670,3394,1203,16916,3
659,3394,1206,16916,3
706,3393,1288,16911,3
671,3409,1243,17072,3
994,3387,1582,16878,3
691,3388,1279,16885,3
6179,61215,13889,280232,3
1868,8519,3514,42228,3
729,3479,1238,17550,3
695,3500,1219,17646,3
691,3484,1194,17526,3
706,3420,1260,17048,3
683,3387,1298,16814,3
6597,61655,14874,284290,3
703,3441,1267,17230,3
705,3447,1267,17328,3
692,3468,1258,17409,3
701,3421,1274,17094,3
688,3383,1255,16825,3
702,3435,1281,17187,3
6580,62503,14626,288659,3
728,3546,1307,18001,3
734,3545,1322,17988,3
693,3487,1242,17571,3
710,3481,1232,17551,3
709,3439,1275,17223,3
684,3369,1249,16699,3
6516,61659,14664,284558,3
699,3436,1269,17186,3
687,3427,1264,17115,3
1129,3442,1820,17210,3
704,3428,1289,17117,3
771,3466,1452,17415,3
677,3381,1254,16781,3
6202,61458,13794,281106,3
672,3431,1192,17190,3
658,3433,1183,17129,3
656,3451,1162,17271,3
701,3435,1259,17140,3
695,3430,1269,17157,3
702,3452,1256,17278,3
6583,61658,14914,284203,3
697,3447,1268,17251,3
696,3446,1265,17271,3
898,3440,1630,17217,3
721,3439,1287,17274,3
708,3518,1270,17828,3
739,3555,1370,17983,3
6298,61497,13983,281583,3
720,3480,1266,17504,3
720,3505,1273,17663,3
1118,3445,1910,17249,3
706,3441,1278,17236,3
700,3424,1277,17102,3
702,3415,1284,17028,3
6085,60328,13528,275327,3
692,3406,1235,16999,3
694,3442,1268,17211,3
707,3416,1264,17037,3
1829,8484,3242,42019,3
680,3401,1262,16945,3
697,3402,1316,16948,3
6891,61405,14778,281122,3
721,3432,1257,17218,3
731,3465,1322,17505,3
734,3474,1307,17560,3
713,3434,1291,17218,3
688,3399,1273,16973,3
689,3396,1272,16920,3
7004,60338,14473,275412,3
672,3402,1204,16947,3
1260,5791,2495,30357,4
992,5182,1908,26485,4
1883,9708,3660,48441,4
987,5150,1860,26282,4
1266,5097,2326,25886,4
2795,10439,4721,52619,4
998,5060,1897,25702,4
1823,9302,3446,47507,4
986,5224,1811,26859,4
979,5276,1857,27165,4
1090,5221,2065,26651,4
939,5046,1826,25380,4
1752,8898,3425,44150,4
1058,5699,1970,28493,4
983,5034,1867,25440,4
27739,561794,48471,3232420,4
366809,47685111,202275,424783217,4
42247,314097,40215,1613856,4
864,4601,1388,22579,4
