@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE classLabel REAL

@DATA
704198,4156760,680528,26386105,9
600004,2745647,576877,20041732,9
612711,2728882,584508,19834607,9
737885,3786949,705701,24608367,9
663014,2757841,628466,20041358,9
636377,3034720,604584,21299590,9
610349,2533631,575970,19073978,9
633343,2616927,612443,19340931,9
195966,718107,191502,5705926,9
% 
% 
% 
