@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_branch-instructions REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE classLabel REAL

@DATA
744483,5791040,5789154,288199,2
940215,5251311,5253197,356423,2
651231,4198109,4198109,243139,2
829778,5196587,5190820,314810,2
1315944,12157025,12151540,465926,2
1727093,16495744,16506069,613137,2
1568665,14517383,14518310,583226,2
1277768,10040469,10040469,482844,2
124942,656941,656941,60421,2
% 
% 
% 
